Merchant ID,Date
Google Play 2,2018-02-15 20:18:19
Steam 3,2017-11-24 19:13:32
AbeBooks 4,2015-03-23 19:58:40
Amazon.com.au 5,2016-05-21 23:57:35
Steam 7,2014-12-24 12:15:04
Steam 8,2017-11-26 21:17:31
Google Play 10,2015-07-05 15:09:16
Google Play 11,2017-01-30 17:01:09
Steam 12,2017-07-03 20:31:01
Steam 14,2016-10-05 00:09:10
Pizza Hut AU 18,2019-03-29 17:30:54
Amazon.com.au 19,2015-07-30 23:03:13
Google Play 21,2019-01-08 19:07:25
Amazon.com.au 23,2016-11-08 23:31:38
Sony Entertainment Network 24,2018-06-10 14:14:08
dicksmith.com.au 25,2018-01-29 21:29:51
Google Play 28,2015-03-02 19:14:42
Steam 29,2018-10-22 07:53:31
Amazon.com.au 30,2016-11-08 23:28:51
Sony Entertainment Network 33,2018-02-19 18:41:58
Google Play 36,2018-03-30 19:12:02
Google Play 37,2017-08-27 23:44:48
Steam 38,2016-11-25 23:06:58
Steam 39,2018-11-02 21:29:01
Sony Entertainment Network 40,2017-08-26 17:12:44
Google Play 42,2019-01-15 10:16:44
Steam 43,2017-04-30 11:43:33
Steam 44,2015-05-04 22:46:04
Sony Entertainment Network 46,2018-09-27 10:16:04
AbeBooks 48,2014-03-21 15:53:11
Google Play 49,2015-11-05 13:32:45
Sony Entertainment Network 50,2018-07-17 21:01:44
fastspring.com 51,2017-04-30 11:26:05
Amazon.com.au 53,2015-12-11 10:30:54
Google Play 55,2018-04-03 15:34:48
Google Play 57,2018-02-19 09:10:19
Steam 58,2016-07-02 22:21:12
Google Play 59,2017-08-31 07:06:26
Steam 60,2018-08-24 07:52:08
Google Play 61,2018-06-04 17:07:08
Steam 62,2017-12-23 11:45:46
Steam 63,2016-04-13 20:29:17
Steam 65,2017-03-10 21:34:47
Amazon.com.au 66,2016-04-02 23:22:33
Google Play 67,2017-11-10 09:28:38
Google Play 69,2017-04-06 08:41:12
Google Play 71,2018-10-16 18:58:13
Google Play 72,2018-07-05 08:40:18
Google Play 76,2018-04-12 09:18:56
Google Play 77,2018-11-20 15:07:40
Sony Entertainment Network 78,2017-08-30 21:09:07
Google Play 79,2017-10-08 09:55:40
Steam 83,2017-12-29 18:33:20
Steam 84,2016-03-09 21:15:36
Google Play 85,2017-09-16 18:31:58
ebgames.com.au 86,2019-05-26 10:56:20
Pizza Hut AU 90,2019-04-26 17:23:21
Pizza Hut AU 91,2018-01-31 18:19:32
Google Play 92,2016-01-31 08:58:01
Steam 97,2016-05-19 19:03:57
Amazon.com.au 98,2016-10-16 00:19:19
Google Play 100,2017-03-26 22:45:28
Google Play 101,2016-02-27 01:06:35
Google Play 103,2017-08-29 23:02:38
Steam 104,2016-11-14 15:22:44
Google Play 105,2018-07-19 09:10:19
The Nile 106,2018-09-30 12:00:37
Steam 108,2018-06-23 21:11:04
Sony Entertainment Network 110,2017-12-06 18:47:14
Sony Entertainment Network 111,2017-08-26 17:13:46
Steam 113,2016-12-23 17:12:00
